,j,Polarity,Coverage,Overlaps,Conflicts
github_ref_in_message,0,[1],0.0005184158761228307,0.0005038808515586391,0.0003052355158480218
version_in_message,1,[0],0.014074748786325449,0.010751073169313657,0.0043072122791887515
bug_issue_body_keyword_bad,2,[],0.0,0.0,0.0
bug_issue_body_keyword_broken,3,[],0.0,0.0,0.0
bug_issue_body_keyword_bug,4,[],0.0,0.0,0.0
bug_issue_body_keyword_close,5,[],0.0,0.0,0.0
bug_issue_body_keyword_concurr,6,[],0.0,0.0,0.0
bug_issue_body_keyword_correct,7,[],0.0,0.0,0.0
bug_issue_body_keyword_corrupt,8,[],0.0,0.0,0.0
bug_issue_body_keyword_crash,9,[],0.0,0.0,0.0
bug_issue_body_keyword_deadlock,10,[],0.0,0.0,0.0
bug_issue_body_keyword_defect,11,[],0.0,0.0,0.0
bug_issue_body_keyword_disabl,12,[],0.0,0.0,0.0
bug_issue_body_keyword_endless,13,[],0.0,0.0,0.0
bug_issue_body_keyword_ensur,14,[],0.0,0.0,0.0
bug_issue_body_keyword_error,15,[],0.0,0.0,0.0
bug_issue_body_keyword_except,16,[],0.0,0.0,0.0
bug_issue_body_keyword_fail,17,[],0.0,0.0,0.0
bug_issue_body_keyword_bugfix,18,[],0.0,0.0,0.0
bug_issue_body_keyword_garbag,19,[],0.0,0.0,0.0
bug_issue_body_keyword_handl,20,[],0.0,0.0,0.0
bug_issue_body_keyword_incomplet,21,[],0.0,0.0,0.0
bug_issue_body_keyword_inconsist,22,[],0.0,0.0,0.0
bug_issue_body_keyword_incorrect,23,[],0.0,0.0,0.0
bug_issue_body_keyword_infinit,24,[],0.0,0.0,0.0
bug_issue_body_keyword_invalid,25,[],0.0,0.0,0.0
bug_issue_body_keyword_issue,26,[],0.0,0.0,0.0
bug_issue_body_keyword_leak,27,[],0.0,0.0,0.0
bug_issue_body_keyword_loop,28,[],0.0,0.0,0.0
bug_issue_body_keyword_minor,29,[],0.0,0.0,0.0
bug_issue_body_keyword_mistak,30,[],0.0,0.0,0.0
bug_issue_body_keyword_npe,31,[],0.0,0.0,0.0
bug_issue_body_keyword_not|work,32,[],0.0,0.0,0.0
bug_issue_body_keyword_not|return,33,[],0.0,0.0,0.0
bug_issue_body_keyword_outofbound,34,[],0.0,0.0,0.0
bug_issue_body_keyword_patch,35,[],0.0,0.0,0.0
bug_issue_body_keyword_prevent,36,[],0.0,0.0,0.0
bug_issue_body_keyword_problem,37,[],0.0,0.0,0.0
bug_issue_body_keyword_properli,38,[],0.0,0.0,0.0
bug_issue_body_keyword_race|condit,39,[],0.0,0.0,0.0
