,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_issue_body_keywords,0,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keywords,1,[],0.0,0.0,0.0,0,0,0.0
bug_message_keywords,2,[1],0.45091225021720244,0.45091225021720244,0.42224152910512597,388,131,0.7475915221579962
bugless_issue_body_keywords,3,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_label_keywords,4,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keywords,5,[0],0.6281494352736751,0.6281494352736751,0.22241529105125976,535,188,0.739972337482711
github_ref_in_message,6,[],0.0,0.0,0.0,0,0,0.0
version_in_message,7,[0],0.0026064291920069507,0.0026064291920069507,0.0017376194613379669,2,1,0.6666666666666666
is_fix,8,"[0, 1]",1.0,0.8592528236316247,0.42484795829713295,703,448,0.6107732406602954
manual_labels,9,[],0.0,0.0,0.0,0,0,0.0
