,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_issue_body_keywords,0,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keywords,1,[],0.0,0.0,0.0,0,0,0.0
bug_message_keywords,2,[1],0.4497506712696586,0.4497506712696586,0.420981971614883,1782,563,0.7599147121535181
bugless_issue_body_keywords,3,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_label_keywords,4,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keywords,5,[0],0.5732642884541619,0.5732642884541619,0.2207518220176448,1824,1165,0.610237537638006
github_ref_in_message,6,[],0.0,0.0,0.0,0,0,0.0
version_in_message,7,[0],0.0005753739930955121,0.0005753739930955121,0.0003835826620636747,2,1,0.6666666666666666
is_fix,8,"[0, 1]",1.0,0.805331799002685,0.4240506329113924,2740,2474,0.5255082470272344
manual_labels,9,[],0.0,0.0,0.0,0,0,0.0
