,j,Polarity,Coverage,Overlaps,Conflicts
bug_if_only_changed_lines_in_one_file,0,[1],0.03640871532417166,0.028753623747666573,0.0234814025169671
bugless_if_many_files_changes,1,[0],0.11782184426446966,0.09379054859077819,0.04674091832157173
github_ref_in_message,2,[1],0.0005209514116336168,0.000516127787451824,0.00040518443127059086
no_files_have_modified_status,3,[0],0.1626429601616879,0.09303806321841852,0.016279731613550525
version_in_message,4,[0],0.014070511738289446,0.012387066898843778,0.006569776135601723
bug_issue_body_keyword_bad,5,[1],0.0034585385383454005,0.003448891289981815,0.003255946322710105
bug_issue_body_keyword_broken,6,[1],0.006183886201058303,0.00617906257687651,0.005730465527969785
bug_issue_body_keyword_bug,7,[1],0.04305566944668207,0.043012256829045935,0.04094774567923864
bug_issue_body_keyword_close,8,[1],0.018860370550809646,0.018754250818810204,0.017321634436817758
bug_issue_body_keyword_concurr,9,[1],0.002855585515621307,0.002855585515621307,0.0025758153130773275
bug_issue_body_keyword_correct,10,[1],0.018537187730629533,0.01851789323390236,0.01741328329627182
bug_issue_body_keyword_corrupt,11,[1],0.0006560128887238137,0.0006560128887238137,0.000612600271087679
bug_issue_body_keyword_crash,12,[1],0.006454009155238697,0.00642506741014794,0.005836585259969225
bug_issue_body_keyword_deadlock,13,[1],0.00027494657836218663,0.00027494657836218663,0.0002460048332714302
bug_issue_body_keyword_defect,14,[1],0.00034730094108907785,0.00034730094108907785,0.0003087119476347359
bug_issue_body_keyword_disabl,15,[1],0.006589070632328894,0.006584247008147102,0.006236946067058023
bug_issue_body_keyword_endless,16,[1],0.00017847409472633168,0.00017365047054453893,0.00015917959799916068
bug_issue_body_keyword_ensur,17,[1],0.006709661236873713,0.006700013988510127,0.0064781272761476605
bug_issue_body_keyword_error,18,[1],0.054506953254258056,0.05444906976407654,0.04953862034701152
bug_issue_body_keyword_except,19,[1],0.018088590681722805,0.018069296184995635,0.016824801146093107
bug_issue_body_keyword_fail,20,[1],0.02915398455475537,0.029149160930573577,0.02732583098985592
bug_issue_body_keyword_bugfix,21,[1],0.06517680994438362,0.06476197826474944,0.058708329916599536
bug_issue_body_keyword_garbag,22,[1],0.0005305986599972023,0.0005305986599972023,0.0004823624181792748
bug_issue_body_keyword_handl,23,[1],0.011253515216122481,0.011239044343577103,0.010611973199944046
bug_issue_body_keyword_incomplet,24,[1],0.0007283672514507049,0.0007283672514507049,0.0006946018821781557
bug_issue_body_keyword_inconsist,25,[1],0.0014084982610834825,0.0014084982610834825,0.001360262019265555
bug_issue_body_keyword_incorrect,26,[1],0.0033620660547095454,0.0033620660547095454,0.0031257084698017006
bug_issue_body_keyword_infinit,27,[1],0.0007669562449050469,0.0007669562449050469,0.0007331908756324977
