,j,Polarity,Coverage,Overlaps,Conflicts
bug_if_only_changed_lines_in_one_file_0,0,[1],0.0365,0.0297,0.0244
bugless_if_many_files_changes_1,1,[0],0.1321,0.1136,0.0673
github_ref_in_message_2,2,[1],0.0003,0.0003,0.0003
no_files_have_modified_status_3,3,[0],0.1046,0.0633,0.0112
refactorings_detected_4,4,[],0.0,0.0,0.0
version_in_message_5,5,[0],0.0118,0.0101,0.0052
bug_issue_body_keyword_bad_6,6,[1],0.004,0.0039,0.0033
bug_issue_body_keyword_broken_7,7,[1],0.0039,0.0039,0.0035
bug_issue_body_keyword_bug_8,8,[1],0.0208,0.0208,0.0192
bug_issue_body_keyword_close_9,9,[1],0.019,0.019,0.0175
bug_issue_body_keyword_concurr_10,10,[1],0.0106,0.0106,0.008
bug_issue_body_keyword_correct_11,11,[1],0.0223,0.0223,0.0214
bug_issue_body_keyword_corrupt_12,12,[1],0.0003,0.0003,0.0003
bug_issue_body_keyword_crash_13,13,[1],0.0069,0.0069,0.0065
bug_issue_body_keyword_deadlock_14,14,[1],0.0008,0.0008,0.0007
bug_issue_body_keyword_defect_15,15,[],0.0,0.0,0.0
bug_issue_body_keyword_disabl_16,16,[1],0.0062,0.0062,0.0053
bug_issue_body_keyword_endless_17,17,[1],0.0001,0.0001,0.0001
bug_issue_body_keyword_ensur_18,18,[1],0.0079,0.0079,0.0078
bug_issue_body_keyword_error_19,19,[1],0.0622,0.0622,0.0561
bug_issue_body_keyword_except_20,20,[1],0.0218,0.0218,0.0184
bug_issue_body_keyword_fail_21,21,[1],0.0291,0.0291,0.0275
bug_issue_body_keyword_bugfix_22,22,[1],0.042,0.0417,0.0367
bug_issue_body_keyword_garbag_23,23,[1],0.0004,0.0004,0.0004
bug_issue_body_keyword_handl_24,24,[1],0.0231,0.0231,0.02
bug_issue_body_keyword_incomplet_25,25,[1],0.0008,0.0008,0.0007
bug_issue_body_keyword_inconsist_26,26,[1],0.0012,0.0012,0.0012
bug_issue_body_keyword_incorrect_27,27,[1],0.0029,0.0029,0.0027
